coord,k562
chr10:103854650-103855086,0
chr10:103870608-103870797,0
chr10:103871157-103871274,0
chr10:103872202-103872473,0
chr10:103881672-103882179,0
chr10:103890201-103890530,0
chr10:103894688-103894835,0
chr10:103908236-103908691,1
chr10:103921956-103922101,0
chr10:103960261-103960655,0
chr10:103965885-103966084,1
chr10:103966462-103966812,0
chr10:104046074-104046404,0
chr10:104084909-104084972,0
chr10:104089674-104089971,0
chr10:104093787-104094132,0
chr10:104110024-104110206,0
chr10:104120113-104120500,0
chr10:104120786-104121582,0
chr10:104138728-104138994,0
chr10:104231479-104231884,0
chr10:104260768-104261698,0
chr10:104321763-104322178,0
chr10:104322447-104322863,0
chr10:104328061-104328336,0
chr10:104339584-104340339,1
chr10:104349632-104350087,0
chr10:104449504-104449777,0
chr10:104594986-104595377,0
chr10:104639553-104639792,0
chr10:104642317-104642485,0
chr10:104644061-104644201,0
chr10:104680960-104681244,0
chr10:10477768-10477811,0
chr10:104805479-104805820,0
chr10:10503550-10503825,0
chr10:105177700-105177791,0
chr10:10564183-10564558,0
chr10:10589656-10589906,0
chr10:106110288-106110294,0
chr10:10632260-10632401,0
chr10:106392279-106392476,0
chr10:106425074-106425278,0
chr10:106440778-106441074,0
chr10:106582399-106582482,0
chr10:106582995-106583345,0
chr10:106589694-106589711,0
chr10:1066887-1067220,0
chr10:106736600-106736983,0
chr10:106740621-106741006,0
chr10:106825211-106825592,0
chr10:106863561-106863604,0
chr10:106913070-106913081,0
chr10:106931433-106931753,0
chr10:106936066-106936190,0
chr10:106942397-106942589,0
chr10:106957152-106957187,0
chr10:106957967-106958026,0
chr10:106989268-106989645,0
chr10:106997840-106997984,0
chr10:107092880-107093226,0
chr10:10712145-10712520,0
chr10:107230968-107231105,0
chr10:107437742-107438277,0
chr10:107481032-107481046,0
chr10:107516297-107516403,0
chr10:107545926-107546160,0
chr10:107547160-107547430,0
chr10:107611258-107611372,0
chr10:10789078-10789204,0
chr10:107913641-107913936,0
chr10:10797222-10797610,0
chr10:108035855-108036151,0
chr10:108076587-108076982,0
chr10:10818219-10818295,0
chr10:108205595-108205894,0
chr10:10824578-10824836,0
chr10:10826311-10826615,0
chr10:108270692-108271085,0
chr10:10830618-10831007,0
chr10:108309616-108309915,0
chr10:108332482-108332541,0
chr10:108379159-108379474,0
chr10:108420332-108420474,0
chr10:108442950-108442961,0
chr10:108448679-108448992,0
chr10:108465955-108466126,0
chr10:108492636-108493018,0
chr10:108538103-108538459,0
chr10:108560723-108561080,0
chr10:10858217-10858475,0
chr10:108600337-108600711,0
chr10:10860699-10860965,0
chr10:108634347-108634577,0
chr10:10872146-10872387,0
chr10:108790044-108790197,0
chr10:108911927-108912197,0
chr10:10911509-10911760,0
chr10:10927344-10927730,0
chr10:109376380-109376397,0
chr10:109443970-109444045,0
chr10:10975875-10976138,0
chr10:109889967-109890157,0
chr10:109906427-109906759,0
chr10:109934139-109934546,0
chr10:109982201-109982361,1
chr10:110074415-110074594,0
chr10:110081957-110082262,0
chr10:110149305-110149468,0
chr10:11019393-11019933,0
chr10:110210682-110211453,1
chr10:110211688-110211832,0
chr10:110212162-110212628,0
chr10:110215952-110216161,0
chr10:110221881-110222268,0
chr10:110245041-110245315,0
chr10:110289743-110290133,0
chr10:11032144-11032530,0
chr10:110324815-110325260,0
chr10:110326676-110326957,0
chr10:110340947-110341091,0
chr10:110353487-110353909,0
chr10:110355249-110355523,0
chr10:110356601-110356926,0
chr10:110357368-110357685,0
chr10:110364129-110364245,0
chr10:110395760-110396273,0
chr10:110399321-110399693,0
chr10:110408201-110408479,0
chr10:110409898-110410133,0
chr10:110410403-110410780,0
chr10:110414389-110414765,0
chr10:110423844-110423994,0
chr10:110426001-110426331,0
chr10:110426668-110426956,0
chr10:110426996-110427151,0
chr10:110441942-110442051,1
chr10:110455654-110455694,0
chr10:110499539-110500044,0
chr10:110501285-110501570,1
chr10:110504022-110504423,0
chr10:110512834-110513172,0
chr10:110530443-110530539,0
chr10:110535987-110536463,0
chr10:110641363-110641711,0
chr10:110672500-110672915,0
chr10:110706613-110707014,0
chr10:110750996-110751275,0
chr10:110754804-110755101,0
chr10:110763011-110763021,0
chr10:110774214-110774578,0
chr10:110802790-110802933,0
chr10:110815567-110815868,0
chr10:110822349-110822563,0
chr10:110822693-110822957,0
chr10:110843104-110843315,0
chr10:110857760-110857815,0
chr10:110860661-110860933,0
chr10:110862397-110862664,0
chr10:110864597-110865066,0
chr10:110905314-110905631,0
chr10:110909085-110909479,0
chr10:110911173-110911627,0
chr10:110914601-110915132,0
chr10:111198754-111199072,0
chr10:111410388-111410432,0
chr10:11149586-11150050,0
chr10:11150142-11150759,0
chr10:11150939-11151184,0
chr10:111532072-111532473,0
chr10:11163104-11163810,0
chr10:11166086-11166676,0
chr10:11166992-11167352,0
chr10:11176028-11176491,0
chr10:11176734-11177299,0
chr10:11178616-11179076,0
chr10:11180259-11180746,0
chr10:111880076-111880272,0
chr10:11207621-11208138,0
chr10:112092611-112092883,0
chr10:112095817-112096135,0
chr10:112132352-112132732,0
chr10:112230771-112230898,0
chr10:112261322-112261823,0
chr10:11226500-11227085,1
chr10:112265879-112266194,0
chr10:112272007-112272295,0
chr10:112275834-112276218,0
chr10:11227649-11228022,0
chr10:112349363-112349431,0
chr10:112350163-112350375,0
chr10:112376627-112376972,0
chr10:112380028-112380282,0
chr10:112389145-112389875,0
chr10:11242504-11242731,0
chr10:11245626-11246043,0
chr10:112532347-112532540,0
chr10:112771477-112771615,0
chr10:112821827-112822116,0
chr10:112834749-112835058,0
chr10:112948098-112948159,0
chr10:112949259-112949646,0
chr10:113056409-113056610,0
chr10:113058797-113059090,0
chr10:113087416-113087751,0
chr10:113092500-113092573,0
chr10:113097114-113097348,0
chr10:113099524-113099877,0
chr10:113131682-113132085,0
chr10:113169273-113169578,0
chr10:113170013-113170452,0
chr10:113179254-113179634,0
chr10:113180588-113180731,0
chr10:113180961-113181206,0
chr10:113221750-113221989,0
chr10:113234583-113234870,0
chr10:113262274-113262675,0
chr10:113267754-113268058,0
chr10:113273252-113273528,0
chr10:113273621-113273813,0
chr10:113274110-113274644,0
chr10:113300567-113301008,0
chr10:113301461-113301471,0
chr10:113306851-113307176,0
chr10:113310420-113310774,0
chr10:113320318-113320589,0
chr10:113320997-113321529,0
chr10:113322884-113323150,0
chr10:113326192-113326545,0
chr10:113381957-113382543,0
chr10:11339916-11340303,0
chr10:113430430-113430691,0
chr10:113463850-113464058,0
chr10:113497418-113497640,0
chr10:113524424-113524616,0
chr10:113680953-113681118,0
chr10:113681940-113682375,0
chr10:113851670-113851709,0
chr10:113874580-113874901,0
chr10:113959503-113959640,0
chr10:114042501-114042652,0
chr10:114043016-114043397,0
chr10:114101341-114101722,0
chr10:114163863-114164139,0
chr10:114208401-114208404,0
chr10:114270008-114270025,0
chr10:114306344-114306387,0
chr10:114320747-114320996,0
chr10:114403577-114403963,0
chr10:114470419-114470808,0
chr10:114499599-114499853,0
chr10:11450480-11450769,0
chr10:114515468-114515827,0
chr10:114525153-114525742,0
chr10:114526101-114526432,0
chr10:114538419-114538721,0
chr10:114541150-114541842,0
chr10:114544346-114544539,0
chr10:114633123-114633642,0
chr10:114634627-114635026,0
chr10:114661591-114661717,0
chr10:114662646-114662851,0
chr10:114722627-114722775,0
chr10:114758217-114758681,0
chr10:114767186-114767811,0
chr10:114819401-114819558,0
chr10:114822913-114823315,1
chr10:114967175-114967356,0
chr10:1149861-1150163,0
chr10:115017061-115017376,0
chr10:115036924-115037097,0
chr10:115231110-115231325,0
chr10:115262182-115262190,0
chr10:11536974-11537256,0
chr10:115382645-115382714,0
chr10:11552271-11552552,0
chr10:115666189-115666435,0
chr10:115743236-115743249,0
chr10:116070737-116070783,0
chr10:11609766-11609938,0
chr10:116113968-116114177,0
chr10:116176705-116176890,0
chr10:11625102-11625346,0
chr10:116268933-116269313,0
chr10:116273980-116274982,0
chr10:116378697-116378757,0
chr10:116395378-116395474,0
chr10:116614098-116614461,0
chr10:116688985-116689178,0
chr10:116703587-116703933,0
chr10:116740902-116741307,0
chr10:116742913-116743308,0
chr10:116896566-116896773,0
chr10:116903546-116903805,0
chr10:11695082-11695224,0
chr10:116963863-116963990,0
chr10:116984325-116984469,0
chr10:116995734-116995899,0
chr10:11704688-11704941,0
chr10:11713236-11713708,0
chr10:117135381-117135402,0
chr10:117167124-117167252,0
chr10:11720179-11720548,0
chr10:11722166-11722428,0
chr10:117248854-117249213,0
chr10:117262371-117262641,0
chr10:117268885-117269117,0
chr10:117496689-117496832,0
chr10:117533566-117533693,0
chr10:117535309-117535493,0
chr10:117538953-117539080,0
chr10:117541316-117541542,0
chr10:117546206-117546692,0
chr10:117552323-117552553,0
chr10:117562380-117562764,0
chr10:117563780-117564066,0
chr10:117684631-117684884,0
chr10:117685035-117685295,0
chr10:117686194-117686554,0
chr10:11793954-11794244,0
chr10:118093488-118093571,0
chr10:11814361-11814526,0
chr10:11824903-11825069,0
chr10:118290232-118290327,0
chr10:118482996-118483224,1
chr10:118503960-118504124,0
chr10:118669496-118669797,0
chr10:118722661-118723016,0
chr10:118729659-118729946,0
chr10:11875841-11876088,0
chr10:118792569-118792927,0
chr10:118793633-118793836,0
chr10:118812435-118812576,0
chr10:11882107-11882320,0
chr10:118832238-118832460,0
chr10:118914542-118914801,0
chr10:11898520-11898890,1
chr10:119045512-119045799,0
chr10:119062440-119062722,0
chr10:119081147-119081523,0
chr10:119090948-119091276,0
chr10:119192111-119192187,0
chr10:119209240-119209518,0
chr10:119247103-119247444,0
chr10:119268347-119269290,0
chr10:119270830-119271303,0
chr10:119271629-119271968,0
chr10:119301477-119301797,0
chr10:119315675-119315823,0
chr10:119373273-119373619,0
chr10:119378771-119379070,0
chr10:11938540-11938884,0
chr10:119406740-119407046,0
chr10:119489588-119489656,0
chr10:119499345-119499613,0
chr10:1195018-1195416,0
chr10:119505285-119505349,0
chr10:119541651-119542368,0
chr10:119547618-119547965,1
chr10:1195768-1196111,0
chr10:119618979-119619161,0
chr10:119655805-119656163,0
chr10:119658361-119658535,0
chr10:119687348-119687716,0
chr10:119693255-119693753,0
chr10:119704541-119704941,0
chr10:119724898-119725133,0
chr10:119743523-119743670,1
chr10:119784551-119785031,0
chr10:119785918-119786417,0
chr10:119871753-119872335,0
chr10:119896459-119896791,0
chr10:119919911-119920325,0
chr10:120070183-120070438,0
chr10:120102252-120102616,0
chr10:12043939-12044228,0
chr10:120460719-120461095,0
chr10:120477240-120477494,0
chr10:12047939-12048226,0
chr10:12049047-12049226,0
chr10:120504237-120504597,0
chr10:120511262-120511524,0
chr10:120720967-120721155,0
chr10:120789980-120790093,0
chr10:120833733-120834115,0
chr10:120835009-120835122,0
chr10:120981735-120982124,0
chr10:121069135-121069435,0
chr10:121077421-121077674,0
chr10:121080325-121080465,0
chr10:121084828-121084994,0
chr10:121189402-121189724,0
chr10:121203817-121204043,0
chr10:121254549-121254680,0
chr10:121267689-121267924,0
chr10:121437578-121437809,0
chr10:121449167-121449436,0
chr10:121459740-121460244,0
chr10:121468917-121469183,0
chr10:121480974-121481730,0
chr10:121508975-121509511,0
chr10:12153132-12153252,0
chr10:1215392-1215490,0
chr10:121595991-121596278,0
chr10:121597103-121597408,0
chr10:121617223-121617476,0
chr10:121658754-121659045,0
chr10:12172276-12172296,0
chr10:121734676-121734801,0
chr10:121921642-121921889,0
chr10:121926992-121927592,1
chr10:12195051-12195342,0
chr10:122017816-122017971,0
chr10:122063279-122063530,1
chr10:122113356-122113915,0
chr10:122141283-122141435,0
chr10:122164186-122164618,0
chr10:122165013-122165517,0
chr10:122197931-122198147,0
chr10:122307984-122308310,0
chr10:122310804-122311205,0
chr10:122373718-122373881,0
chr10:12241844-12242227,0
chr10:122462485-122462637,0
chr10:122463171-122463349,0
chr10:122468188-122468531,0
chr10:122469030-122469486,0
chr10:122471889-122472098,0
chr10:122487081-122487729,0
chr10:122490184-122490552,0
chr10:122494784-122495242,0
chr10:122530214-122530497,0
chr10:122544578-122544838,0
chr10:12264536-12264778,0
chr10:12265694-12266051,0
chr10:12271011-12271141,0
chr10:122764502-122764509,0
chr10:122852877-122853282,0
chr10:122877383-122877627,0
chr10:122878816-122879196,0
chr10:122894739-122894966,0
chr10:123112915-123113192,0
chr10:123205152-123205299,0
chr10:123274699-123275081,0
chr10:12333219-12333433,0
chr10:123391778-123392028,0
chr10:123392107-123392565,0
chr10:123398177-123398371,0
chr10:123402724-123402918,0
chr10:123428927-123429064,0
chr10:123444705-123444901,0
chr10:123482853-123482974,0
chr10:123559479-123559569,0
chr10:123559866-123559990,0
chr10:123610670-123611000,0
chr10:123840737-123840995,0
chr10:123859091-123859419,0
chr10:123901717-123901929,0
chr10:123963892-123964048,0
chr10:123965048-123965335,0
chr10:123967923-123968059,0
chr10:123970714-123970862,0
chr10:123995400-123996166,0
chr10:123997417-123998219,0
chr10:124010792-124010970,0
chr10:124033457-124033652,0
chr10:124035819-124036416,0
chr10:124040499-124040698,0
chr10:124094178-124094224,0
chr10:124094482-124094691,0
chr10:124099697-124099957,0
chr10:124100621-124100949,0
chr10:12413600-12413960,0
chr10:124142999-124143352,0
chr10:124143585-124143960,0
chr10:124152344-124152582,0
chr10:124152641-124152832,0
chr10:124153012-124153635,0
chr10:124176456-124176544,0
chr10:124246494-124246831,0
chr10:124266374-124266713,0
chr10:124271761-124271993,0
chr10:124280032-124280300,0
chr10:124285744-124285988,0
chr10:124289518-124289733,0
chr10:124289886-124290044,0
chr10:124290183-124290737,0
chr10:124299080-124299253,0
chr10:124301872-124301964,0
chr10:124305195-124305453,0
chr10:124305652-124306193,0
chr10:124323256-124323419,0
chr10:124332530-124332844,0
chr10:124339629-124339993,0
chr10:124341015-124341504,0
chr10:124341657-124342243,0
chr10:124451198-124451591,0
chr10:12448798-12449319,0
chr10:124510603-124510663,0
chr10:124523413-124523671,0
chr10:124525128-124525522,0
chr10:124534565-124534684,0
chr10:124547783-124548175,0
chr10:12455928-12456430,0
chr10:124562982-124563330,0
chr10:124601373-124601778,0
chr10:124607294-124607558,0
chr10:124611472-124611828,0
chr10:124624807-124625239,0
chr10:124626958-124627360,0
chr10:124636579-124636917,0
chr10:124640841-124641125,0
chr10:124641293-124641614,0
chr10:124642066-124642704,0
chr10:124647790-124648133,0
chr10:124648702-124649016,0
chr10:124650187-124650674,0
chr10:124650891-124651345,0
chr10:124651762-124651936,0
chr10:124657453-124658374,0
chr10:124666085-124666253,0
chr10:124671506-124671907,0
chr10:124680711-124681037,0
chr10:124685224-124685490,0
chr10:124686880-124687328,0
chr10:124688918-124689149,0
chr10:124693803-124694142,0
chr10:124694984-124695235,0
chr10:124698316-124698425,0
chr10:124700649-124700785,0
chr10:124709832-124710120,1
chr10:124715278-124715672,0
chr10:124717990-124718642,0
chr10:124719017-124719700,0
chr10:124721572-124721933,0
chr10:124723183-124723670,0
chr10:124724675-124724998,0
chr10:124728517-124728728,0
chr10:124733157-124733570,0
chr10:124741154-124741623,0
chr10:124756724-124757322,0
chr10:12485555-12485986,0
chr10:124882888-124882979,0
chr10:124999571-124999946,0
chr10:125015394-125015480,0
chr10:125023829-125024054,0
chr10:125024277-125024354,0
chr10:125029096-125029166,0
chr10:125061206-125061361,0
chr10:125084874-125085293,0
chr10:125093536-125093715,0
chr10:125149382-125149622,0
chr10:125161681-125162255,0
chr10:125558098-125558248,0
chr10:125720201-125720332,0
chr10:125784003-125784262,0
chr10:125846192-125846472,0
chr10:125903120-125903447,0
chr10:125918553-125918806,0
chr10:125982327-125982545,0
chr10:12605601-12606001,0
chr10:126062464-126062867,0
chr10:126063368-126063468,0
chr10:126063637-126063922,0
chr10:126082193-126082391,0
chr10:126087783-126087977,0
chr10:126124893-126125265,0
chr10:126128086-126128328,0
chr10:126130256-126130485,0
chr10:126131426-126131612,0
chr10:126133358-126133825,0
chr10:126134277-126134617,0
chr10:126136006-126136433,0
chr10:126136596-126136761,0
chr10:126136937-126137253,0
chr10:126146826-126147124,0
chr10:126164696-126164902,0
chr10:126170393-126170607,0
chr10:126171561-126171931,0
chr10:126196970-126197317,1
chr10:126203557-126203919,0
chr10:126205373-126205789,0
chr10:126216240-126216628,0
chr10:126226625-126227188,0
chr10:126227671-126228090,0
chr10:126231387-126231488,0
chr10:126242993-126243061,0
chr10:126247591-126248001,0
chr10:126265108-126265250,0
chr10:126276518-126276863,0
chr10:126291813-126292078,0
chr10:126307286-126307478,0
chr10:12637814-12637890,0
chr10:126386606-126387284,0
chr10:126391291-126391570,0
chr10:126420265-126420604,0
chr10:126496717-126496863,0
chr10:126499205-126499444,0
chr10:126561618-126561760,0
chr10:126569893-126570193,0
chr10:126571482-126571814,0
chr10:126579757-126579765,0
chr10:126638439-126638814,0
chr10:126663294-126663573,0
chr10:126904429-126904823,0
chr10:126905954-126906510,0
chr10:126906780-126906880,0
chr10:12691341-12691452,0
chr10:126948407-126948437,0
chr10:126995789-126995932,0
chr10:12705517-12705873,0
chr10:12707538-12707905,0
chr10:127149033-127149216,0
chr10:12720456-12720629,0
chr10:127253983-127254255,0
chr10:127457630-127457759,0
chr10:12749440-12749459,0
chr10:127547832-127548225,0
chr10:127604751-127605022,0
chr10:12772209-12772715,0
chr10:12781374-12781672,0
chr10:127877271-127877381,0
chr10:127880577-127880864,0
chr10:127905844-127906391,0
chr10:127908565-127909064,0
chr10:127930243-127930473,0
chr10:127935281-127935432,0
chr10:127938123-127938538,0
chr10:127976335-127976663,0
chr10:127977495-127978050,0
chr10:127988097-127988326,0
chr10:127989502-127989939,0
chr10:127991169-127991730,0
chr10:128018389-128018817,0
chr10:128052928-128053077,1
chr10:128095577-128095847,0
chr10:128150158-128150361,0
chr10:128216857-128217010,0
chr10:128219015-128219276,0
chr10:128221211-128221485,0
chr10:128461528-128461572,0
chr10:128475887-128476031,0
chr10:128480172-128480199,0
chr10:128526370-128526643,0
chr10:128541287-128541628,0
chr10:128642449-128642831,0
chr10:128792456-128792677,0
chr10:128875905-128876288,0
chr10:1289695-1289981,0
chr10:129035424-129035669,0
chr10:12908339-12908421,0
chr10:129104699-129104872,0
chr10:12916534-12916724,1
chr10:12934673-12935075,0
chr10:1293544-1293884,0
chr10:1293888-1294072,0
chr10:129639945-129640116,0
chr10:129729994-129730190,0
chr10:129845755-129845951,0
chr10:129889799-129889978,0
chr10:129960075-129960582,0
chr10:129964749-129964894,0
chr10:130014884-130015214,0
chr10:130021422-130021675,0
chr10:130105952-130106030,0
chr10:130133043-130133076,0
chr10:130135199-130135330,0
chr10:130213371-130213630,0
chr10:130301621-130301927,0
chr10:130369086-130369180,0
chr10:130384617-130384814,0
chr10:130519366-130519507,0
chr10:130524057-130524457,0
chr10:130534205-130534327,0
chr10:13054152-13054416,0
chr10:130543029-130543066,0
chr10:130631624-130631757,0
chr10:130688324-130688434,0
chr10:130697055-130697143,0
chr10:130752933-130753180,0
chr10:13089256-13089517,0
chr10:1309716-1309992,0
chr10:13100911-13101499,0
chr10:1310211-1310583,0
chr10:131088685-131088775,0
chr10:131129639-131130008,0
chr10:131453325-131453487,0
chr10:131481681-131481790,0
chr10:13158624-13159003,0
chr10:131622274-131622483,0
chr10:131635585-131635980,0
chr10:131655110-131655214,0
chr10:131677750-131677945,0
chr10:131822712-131822804,0
chr10:131833534-131833713,0
chr10:131850476-131850841,0
chr10:131875323-131875407,0
chr10:131892171-131892311,0
chr10:131897637-131897830,1
chr10:131904716-131904999,0
chr10:13193342-13193711,0
chr10:131962660-131962798,0
chr10:131979545-131979921,0
chr10:131980771-131980910,1
chr10:132021164-132021250,0
chr10:132023244-132023335,0
chr10:132048370-132048639,0
chr10:132060259-132060396,0
chr10:132065743-132066020,0
chr10:132066509-132066663,0
chr10:132110398-132110907,0
chr10:132132419-132132469,0
chr10:132142982-132143248,0
chr10:132187733-132188107,0
chr10:132229886-132230012,0
chr10:132272067-132272375,0
chr10:132300605-132300950,0
chr10:132308506-132308588,0
chr10:132311448-132311560,0
chr10:1323250-1323570,0
chr10:132327074-132327254,0
chr10:132335582-132335959,1
chr10:132395241-132395509,0
chr10:132399112-132399409,0
chr10:132403898-132404165,0
chr10:132407961-132408190,0
chr10:132408459-132408783,0
chr10:132411852-132412083,0
chr10:132417964-132418341,0
chr10:132421203-132421880,0
chr10:132422285-132422609,0
chr10:132429904-132430254,0
chr10:132439220-132439594,0
chr10:132446868-132447042,1
chr10:132453142-132453556,0
chr10:132517113-132517680,0
chr10:132518681-132518868,0
chr10:132532741-132533142,0
chr10:132539328-132539715,0
chr10:132544798-132545081,0
chr10:132547464-132547924,0
chr10:132551185-132551923,0
chr10:132554790-132555522,1
chr10:132555751-132556036,0
chr10:132560204-132560537,0
chr10:132572087-132572206,0
chr10:132575233-132575681,0
chr10:132586314-132586849,0
chr10:132588355-132588757,0
chr10:132589202-132589374,0
chr10:132616571-132616807,0
chr10:132630874-132631228,0
chr10:132714224-132714383,0
chr10:132723385-132723741,0
chr10:132736130-132736338,0
chr10:132790964-132791055,0
chr10:132825343-132825588,0
chr10:132897332-132897726,0
chr10:132901570-132901756,0
chr10:132902827-132903202,0
chr10:13293609-13293645,0
chr10:132983904-132984112,0
chr10:132987064-132987299,0
chr10:133012617-133013224,0
chr10:133013472-133013801,0
chr10:133067319-133067683,0
chr10:133068147-133068436,0
chr10:133091834-133092203,0
chr10:133099948-133100095,0
chr10:133114072-133114364,0
chr10:13312845-13313014,0
chr10:133161570-133161792,0
chr10:133162811-133162965,0
chr10:133204215-133204380,0
chr10:133235363-133235804,1
chr10:1332459-1332514,0
chr10:133258489-133258614,0
chr10:133259231-133259624,0
chr10:133264602-133264761,0
chr10:133294245-133294533,0
chr10:133305316-133305754,1
chr10:133305849-133306230,0
chr10:133329496-133329966,0
chr10:133333162-133333509,0
chr10:133347-133726,0
chr10:133378368-133378678,0
chr10:133391978-133392092,0
chr10:13346296-13346525,0
chr10:13349775-13350252,0
chr10:1348084-1348256,0
chr10:13550932-13551014,0
chr10:13650280-13650641,0
chr10:13703528-13703723,0
chr10:13704905-13705107,0
chr10:13705807-13706143,1
chr10:13708246-13708403,0
chr10:13712952-13713339,0
chr10:13716221-13716456,0
chr10:13717979-13718418,0
chr10:13725544-13725732,0
chr10:13726517-13726738,0
chr10:13758486-13758712,0
chr10:13770005-13770262,0
chr10:13782180-13782466,0
chr10:13787021-13787481,0
chr10:13789161-13789325,0
chr10:13824933-13825208,0
chr10:13873234-13873426,0
chr10:13879380-13879645,0
chr10:13881847-13882825,0
chr10:13886984-13887095,0
chr10:13961091-13961406,0
chr10:13967769-13968162,0
chr10:13970361-13970686,0
chr10:13973830-13974130,0
chr10:13984617-13985027,0
chr10:13989797-13989930,0
chr10:13997311-13997642,0
chr10:13998258-13998652,0
chr10:14009387-14010061,0
chr10:14011070-14011429,0
chr10:14024159-14024581,0
chr10:14041241-14041440,0
chr10:14057318-14057549,0
chr10:14089370-14090068,0
chr10:14113607-14113792,0
chr10:1412642-1412924,0
chr10:14133549-14133586,0
chr10:14173784-14174001,0
chr10:14175182-14175544,0
chr10:14176188-14176439,0
chr10:14187313-14187508,0
chr10:14227023-14227187,0
chr10:14238344-14238354,0
chr10:14262398-14262599,0
chr10:14266174-14266200,0
chr10:14316506-14316908,0
chr10:14320707-14321016,0
chr10:14327627-14327910,0
chr10:14375107-14375452,0
chr10:14377896-14378162,0
chr10:14399742-14399972,0
chr10:14404041-14404212,0
chr10:14405047-14405456,0
chr10:14416447-14416566,0
chr10:1444824-1445175,0
chr10:14476834-14477127,0
chr10:14507248-14507551,0
chr10:14545041-14545189,0
chr10:14550373-14550823,0
chr10:14559404-14559957,0
chr10:14560321-14560583,0
chr10:14563483-14564015,0
chr10:14569104-14570412,0
chr10:14582028-14582330,0
chr10:14586831-14587279,0
chr10:14587409-14587802,0
chr10:14587832-14588644,0
chr10:14605139-14605590,0
chr10:14618822-14619041,0
chr10:14647847-14648851,0
chr10:14655071-14655401,0
chr10:14659783-14660189,0
chr10:14660713-14661048,0
chr10:14671870-14672118,0
chr10:14781908-14782059,0
chr10:14877645-14878324,0
chr10:14889163-14889542,0
chr10:1489219-1489429,0
chr10:14902093-14902288,0
chr10:14907513-14907774,1
chr10:14909597-14909764,0
chr10:14913591-14913885,0
chr10:14992355-14992603,0
chr10:15057160-15057417,0
chr10:15116720-15117035,0
chr10:15130701-15130809,0
chr10:15136543-15136845,0
chr10:15137889-15137920,0
chr10:15149045-15149372,0
